SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.1,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/02/2024,,,
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
,40,-62,13.3,4.9,19.8,4.1,1422-02221,Nape
,60,-10,15.7,5.4,23.0,4.2,1422-02251,Wing covert 1
,41,-105,8.0,5.4,20.9,3.9,1422-02251,Wing covert 2
,42,-104,7.8,5.6,22.4,4.0,1422-02251,Rectrice
,43,-79,9.7,5.0,22.5,4.5,1272-31742,Wing covert
,44,-160,0.8,5.6,21.5,3.8,1272-31742,Rectrice 1
,45,-25,14.5,5.2,21.4,4.1,1272-31742,Rectrice 2
,46,-32,15.4,5.5,21.1,3.8,1272-31742,Breast 1
,47,-20,13.9,5.0,22.0,4.4,1272-31742,Breast 2
,48,-22,13.9,4.7,20.9,4.5,1272-31742,Body
,49,-15,14.8,5.0,21.1,4.2,1272-31742,Nape
,50,-24,15.5,4.6,18.9,4.1,YERA-M-UB-1,
,51,-121,6.7,5.7,21.5,3.7,YERA-UB-2,
,52,-143,1.6,5.5,20.9,3.8,YERA-UB-2,body feathers
,53,-56,12.2,5.2,23.1,4.4,2301-08541,BLRA (x2)
,54,-19,13.2,5.3,20.9,3.9,YERA-UB-3,
,55,-112,7.7,5.5,20.6,3.7,YERA-F-SY-UB-4,
,56,-114,7.0,5.4,20.4,3.7,YERA-F-SY-UB-4,Body feathers
,57,-56,10.9,5.0,22.2,4.5,2301-08539,BLRA x2
,58,-33,17.4,5.3,21.5,4.1,2301-08539,BLRA Body feathers
,59,-46,13.4,5.4,21.4,4.0,2301-08598,BLRA Other feathers
,61,-11,13.5,5.5,21.4,3.9,2301-08599,BLRA
,62,5,13.5,5.4,22.1,4.1,2301-08596,BLRA
,63,-3,15.6,5.6,22.3,4.0,1342-12909,BLRA Sargent
,64,-166,2.1,5.6,22.5,4.0,1342-12910,YERA Body feather
,65,-155,2.9,5.8,21.9,3.8,1342-12910,YERA
,66,-1,16.4,5.7,22.6,4.0,1342-12911,BLRA Sargent
,67,-25,16.7,5.6,22.3,4.0,1342-12914,BLRA Sargent
,68,-14,15.3,5.8,22.9,3.9,2331-59069,BLRA St Marks NWR 5  Jan 2022
,69,-13,13.2,5.5,22.5,4.1,2331-59070,BLRA San Bernard NWR 11 Feb 2022
,70,-5,13.6,5.2,21.0,4.0,2331-59071,BLRA San Bernard NWR 11 Feb 2022
,71,-20,15.0,5.7,22.2,3.9,1342-12916,Black Rail San Bernard
,72,-18,16.0,5.8,22.2,3.8,1342-12917,Black Rail San Bernard
,73,-33,13.6,5.7,22.3,3.9,2331-59064,Black Rail Sargent
,74,-24,13.0,4.8,19.3,4.0,233-59065,Black Rail Sargent
,75,-29,15.4,5.3,21.9,4.2,1372-16801,Black Rail South Carolina
Quality Assurance,,,,,,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
DS,DS,-170.3,6.4,5.9,22.4,3.8,,
d2HVSMOW = -172.7‰,DS,-173.3,6.0,5.9,22.4,3.8,,
d18OVSMOW = +6.02‰,DS,-172.4,5.9,5.9,22.7,3.8,,
,DS,-173.6,6.1,5.9,22.6,3.8,,
,DS,-170.9,5.9,5.9,22.3,3.8,,
,DS,-173.9,5.9,6.0,22.6,3.8,,
