"Original_ID","Envelope_ID","Group","Feather_type_raw","Feather_type_clean","Feather_cat","d2H","d18O","WtH","WtO","OHratio","Job_ID","Run_date","POW_d2H_su","POW_d18O_su","QC_flag"
32,"1422-02219","KLMA","Secondary","Secondary","Flight",-114,7.4,5.6,21.6,3.9,"24- 215.1","6/02/2024",0.8,0.2,"ok"
36,"1422-02220","KLMA","Secondary","Secondary","Flight",-111,8.2,5.7,21.5,3.7,"24- 215.1","6/02/2024",0.8,0.2,"ok"
38,"1422-02221","KLMA","Secondary","Secondary","Flight",-107,10.4,5.7,21,3.7,"24- 215.1","6/02/2024",0.8,0.2,"ok"
60,"1422-02251","KLMA","Wing covert","Wing covert","Flight",-10,15.7,5.4,23,4.2,"24- 215.2","6/16/2024",1.2,0.2,"ok"
41,"1422-02251","KLMA","Wing covert","Wing covert","Flight",-105,8,5.4,20.9,3.9,"24- 215.2","6/16/2024",1.2,0.2,"ok"
43,"1272-31742","Reference_1272-31742","Wing covert","Wing covert","Flight",-79,9.7,5,22.5,4.5,"24- 215.2","6/16/2024",1.2,0.2,"ok"
44,"1272-31742","Reference_1272-31742","Rectrice 1","Rectrice","Flight",-160,0.8,5.6,21.5,3.8,"24- 215.2","6/16/2024",1.2,0.2,"ok"
45,"1272-31742","Reference_1272-31742","Rectrice 2","Rectrice","Flight",-25,14.5,5.2,21.4,4.1,"24- 215.2","6/16/2024",1.2,0.2,"ok"
46,"1272-31742","Reference_1272-31742","Breast 1","Breast","Body",-32,15.4,5.5,21.1,3.8,"24- 215.2","6/16/2024",1.2,0.2,"ok"
47,"1272-31742","Reference_1272-31742","Breast 2","Breast","Body",-20,13.9,5,22,4.4,"24- 215.2","6/16/2024",1.2,0.2,"ok"
48,"1272-31742","Reference_1272-31742","Body","Body","Body",-22,13.9,4.7,20.9,4.5,"24- 215.2","6/16/2024",1.2,0.2,"ok"
49,"1272-31742","Reference_1272-31742","Nape","Nape","Body",-15,14.8,5,21.1,4.2,"24- 215.2","6/16/2024",1.2,0.2,"ok"
