SIBS ID,Sample ID,FEATHER TYPE,d15N (permil),N%,d13C (permil),C%,Notes:,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,
